(て) しまう	～(て) しまう	to end up ~
彼ら	かれら	they (usually male)
彼女	かのじょ	girlfriend; she
御	ご～	honorable ~
復習	ふくしゅう	review (of lessons), revision
心配	しんぱいする	worry, concern
必ず	かならず	surely, certainly
必要	ひつよう	necessary
忘れ物	わすれもの	lost article, something forgotten
怒る	おこる	to get angry; to scold angrily
怖い	こわい	scary, frightening
思い出す	おもいだす	to recall, to remember
思う	おもう	to think, to feel
急ぐ	いそぐ	to hurry, to be in a hurry, to rush
急行	きゅうこう	express train or bus
恥ずかしい	はずかしい	ashamed, embarrassed
息子	むすこ	(humble) son
悲しい	かなしい	sad, sorrowful
意見	いけん	opinion, view, idea
慣れる	なれる	to grow accustomed to
戦争	せんそう	war
戻る	もどる	to return (v.i.); to come back
手伝う	てつだう	to help
手袋	てぶくろ	glove(s)
打つ	うつ	to hit, to strike
払う	はらう	to pay
承知	しょうちする	consent, acceptance
技術	ぎじゅつ	technique, technology, skill
投げる	なげる	to pitch, to cast away
折る	おる	to snap, to break; to bend
折れる	おれる	to break, to be folded, to give in; to turn (a corner)
押し入れ	おしいれ	closet
招待	しょうたいする	invitation
拝見	はいけんする	(humble) (polite) seeing, look at
拾う	ひろう	to pick up (something), to find
指輪	ゆびわ	(finger) ring
挨拶	あいさつする	greet(ing)
捕まえる	つかまえる	to catch, to arrest
捨てる	すてる	throw away (trash), dump, discard
探す	さがす	to search, to seek, to look for
揺れる	ゆれる	to shake, to sway
支度	したくする	preparation
放送	ほうそうする	broadcasting
政治	せいじ	politics
故障	こしょうする	breakdown
教会	きょうかい	church
教育	きょういく	education
数学	すうがく	mathematics
文化	ぶんか	culture
文学	ぶんがく	literature
文法	ぶんぽう	grammar
新聞社	しんぶんしゃ	newspaper company
旅館	りょかん	a Japanese inn
日記	にっき	diary, journal
明日	あす	tomorrow
是非	ぜひ	certainly, by all means; without fail
昼休み	ひるやすみ	lunch break, noon recess
昼間	ひるま	daytime, during the day
時代	じだい	age, period, epoch, era
普通	ふつう	common; usual
景色	けしき	scenery, landscape
暖房	だんぼう	heating
暮れる	くれる	to get dark, to come to an end
最も	もっとも	most
最初	さいしょ	beginning, first
最後	さいご	last, end
最近	さいきん	recently, nowadays, in recent years, most recent, latest
月	～つき	month
木綿	もめん	cotton
柔らかい	やわらかい	soft (in reference to texture), tender
柔道	じゅうどう	judo
校長	こうちょう	principal, headmaster
格好	かっこう	appearance, manner, shape, form, posture
案内	あんないする	information, guidance
植える	うえる	to plant
楽しみ	たのしみ	pleasure, joy
楽む	たのしむ	to enjoy
様	～さま	way, manner, kind
機会	きかい	chance, opportunity
止む	やむ	to cease, to stop
止める	やめる	to stop (something)
正しい	ただしい	correct
正月	しょうがつ	New Year, New Year's Day
歯医者	はいしゃ	dentist
歴史	れきし	history
残る	のこる	to remain (v.i.), to be left
残念	ざんねん	regret; regrettable
比べる	くらべる	to compare
気分	きぶん	feeling, mood
気持ち	きもち	feeling, sensation, mood
水泳	すいえい	swimming
水道	すいどう	water service, water line
汚れる	よごれる	to become dirty
決して	けっして	never
決まる	きまる	to be set; fixed (v.i.)
決める	きめる	to decide (v.t.)
汽車	きしゃ	train (steam)
沸かす	わかす	to boil
沸く	わく	to boil, to grow hot
治る	なおる	to get better; to recover from illness (v.i.)
泊まる	とまる	to stay (over night) (v.i.)
法律	ほうりつ	law
泣く	なく	to cry
泥棒	どろぼう	thief; burglar
注射	ちゅうしゃ	injection
注意	ちゅうい	caution, attention
浅い	あさい	shallow, superficial
海岸	かいがん	coast, seashore
消しゴム	けしゴム	eraser
深い	ふかい	deep, profound
済む	すむ	to finish, to end
準備	じゅんびする	prepare
滑る	すべる	to slide, to slip
漫画	まんが	comic (book), cartoon
